customer_id,activity_month,total_spend,transaction_count,rewards_redeemed_flag,customer_support_calls,late_payment_flag,card_type
CUST000001,2025-01-01,615.65,23,1,0,0,Green
CUST000001,2025-02-01,664.21,29,0,0,0,Green
CUST000001,2025-03-01,583.65,19,0,0,0,Green
CUST000001,2025-04-01,837.12,24,0,0,0,Green
CUST000001,2025-05-01,814.5,27,1,0,0,Green
CUST000001,2025-06-01,671.31,21,0,0,0,Green
CUST000001,2025-07-01,690.27,22,1,0,0,Green
CUST000001,2025-08-01,707.22,27,0,0,0,Green
CUST000001,2025-09-01,777.84,21,0,0,0,Green
CUST000001,2025-10-01,800.19,23,1,0,0,Green
CUST000001,2025-11-01,728.14,24,0,0,0,Green
CUST000001,2025-12-01,740.97,23,1,0,0,Green
CUST000002,2025-01-01,1756.88,26,1,0,0,Gold
CUST000002,2025-02-01,1580.31,28,1,0,0,Gold
CUST000002,2025-03-01,1663.61,17,0,0,0,Gold
CUST000002,2025-04-01,1463.0,29,1,0,1,Gold
CUST000002,2025-05-01,1814.17,26,1,0,0,Gold
CUST000002,2025-06-01,1647.28,34,1,0,0,Gold
CUST000002,2025-07-01,1402.47,29,1,0,0,Gold
CUST000002,2025-08-01,1525.83,39,1,0,0,Gold
CUST000002,2025-09-01,1454.98,32,0,0,0,Gold
CUST000002,2025-10-01,1586.5,38,0,0,0,Gold
CUST000002,2025-11-01,1122.91,30,1,0,0,Gold
CUST000002,2025-12-01,1873.8,32,1,0,1,Gold
CUST000003,2025-01-01,616.35,11,1,0,0,Green
CUST000003,2025-02-01,550.68,9,0,0,0,Green
CUST000003,2025-03-01,691.36,8,1,0,0,Green
CUST000003,2025-04-01,502.79,8,1,0,0,Green
CUST000003,2025-05-01,637.9,7,1,0,0,Green
CUST000003,2025-06-01,684.49,10,1,0,0,Green
CUST000003,2025-07-01,646.64,9,1,0,0,Green
CUST000003,2025-08-01,541.8,10,1,0,0,Green
CUST000003,2025-09-01,585.5,12,1,0,0,Green
CUST000003,2025-10-01,686.38,9,1,0,0,Green
CUST000003,2025-11-01,698.67,13,1,0,0,Green
CUST000003,2025-12-01,575.13,8,1,0,0,Green
CUST000004,2025-01-01,1324.87,8,0,0,0,Gold
CUST000004,2025-02-01,1146.76,8,0,0,0,Gold
CUST000004,2025-03-01,988.77,8,1,0,1,Gold
CUST000004,2025-04-01,1043.46,8,1,0,0,Gold
CUST000004,2025-05-01,1054.65,8,1,0,0,Gold
CUST000004,2025-06-01,1256.8,9,0,0,0,Gold
CUST000004,2025-07-01,1250.75,8,0,0,0,Gold
CUST000004,2025-08-01,990.09,8,0,0,0,Gold
CUST000004,2025-09-01,939.5,8,0,0,0,Gold
CUST000004,2025-10-01,1157.6,7,0,0,0,Gold
CUST000004,2025-11-01,1111.48,8,0,0,0,Gold
CUST000004,2025-12-01,1023.32,8,0,0,0,Gold
CUST000005,2025-01-01,3072.54,14,1,0,0,Platinum
CUST000005,2025-02-01,3041.35,14,0,0,0,Platinum
CUST000005,2025-03-01,3194.78,18,0,0,0,Platinum
CUST000005,2025-04-01,2934.81,16,1,0,0,Platinum
CUST000005,2025-05-01,2553.02,18,0,0,0,Platinum
CUST000005,2025-06-01,2950.16,14,0,0,0,Platinum
CUST000005,2025-07-01,2896.91,11,0,0,0,Platinum
CUST000005,2025-08-01,2701.76,12,0,0,0,Platinum
CUST000005,2025-09-01,3066.42,18,1,0,0,Platinum
CUST000005,2025-10-01,3132.64,16,0,0,0,Platinum
CUST000005,2025-11-01,3025.61,15,0,0,0,Platinum
CUST000005,2025-12-01,3154.49,15,0,0,0,Platinum
CUST000006,2025-01-01,1323.06,27,0,0,0,Gold
CUST000006,2025-02-01,1754.44,26,1,0,0,Gold
CUST000006,2025-03-01,1725.93,26,0,0,0,Gold
CUST000006,2025-04-01,2077.23,21,0,0,0,Gold
CUST000006,2025-05-01,2069.11,32,0,0,0,Gold
CUST000006,2025-06-01,1815.2,25,1,0,0,Gold
CUST000006,2025-07-01,1818.63,29,1,0,0,Gold
CUST000006,2025-08-01,1540.92,25,0,0,0,Gold
CUST000006,2025-09-01,2213.45,22,0,0,0,Gold
CUST000006,2025-10-01,1940.04,25,0,0,0,Gold
CUST000006,2025-11-01,1978.77,15,0,0,0,Gold
CUST000006,2025-12-01,2153.8,32,1,0,0,Gold
CUST000007,2025-01-01,2009.36,29,0,0,0,Gold
CUST000007,2025-02-01,1959.61,22,1,0,0,Gold
CUST000007,2025-03-01,1683.86,31,1,0,0,Gold
CUST000007,2025-04-01,1929.9,28,0,0,0,Gold
CUST000007,2025-05-01,1581.45,23,1,0,0,Gold
CUST000007,2025-06-01,1581.52,23,1,0,0,Gold
CUST000007,2025-07-01,1627.92,26,1,0,0,Gold
CUST000007,2025-08-01,2030.95,21,1,0,0,Gold
CUST000007,2025-09-01,1819.5,17,1,0,0,Gold
CUST000007,2025-10-01,2528.56,28,0,0,0,Gold
CUST000007,2025-11-01,1996.81,21,0,0,0,Gold
CUST000007,2025-12-01,2041.85,24,0,0,0,Gold
CUST000008,2025-01-01,735.69,16,1,0,0,Green
