customer_id,is_churned,churn_month
CUST000001,0,
CUST000002,0,
CUST000003,0,
CUST000004,0,
CUST000005,0,
CUST000006,0,
CUST000007,0,
CUST000008,0,
CUST000009,0,
CUST000010,0,
CUST000011,0,
CUST000012,0,
CUST000013,0,
CUST000014,0,
CUST000015,0,
CUST000016,0,
CUST000017,0,
CUST000018,1,2025-09-01
CUST000019,0,
CUST000020,0,
CUST000021,0,
CUST000022,0,
CUST000023,0,
CUST000024,0,
CUST000025,0,
CUST000026,0,
CUST000027,1,2025-10-01
CUST000028,0,
CUST000029,0,
CUST000030,1,2025-08-01
CUST000031,0,
CUST000032,0,
CUST000033,0,
CUST000034,0,
CUST000035,1,2025-11-01
CUST000036,0,
CUST000037,0,
CUST000038,1,2025-09-01
CUST000039,0,
CUST000040,0,
CUST000041,0,
CUST000042,0,
CUST000043,1,2025-08-01
CUST000044,0,
CUST000045,0,
CUST000046,0,
CUST000047,0,
CUST000048,0,
CUST000049,0,
CUST000050,0,
CUST000051,1,2025-09-01
CUST000052,0,
CUST000053,0,
CUST000054,0,
CUST000055,0,
CUST000056,0,
CUST000057,0,
CUST000058,0,
CUST000059,0,
CUST000060,0,
CUST000061,0,
CUST000062,0,
CUST000063,1,2025-07-01
CUST000064,0,
CUST000065,0,
CUST000066,0,
CUST000067,1,2025-08-01
CUST000068,0,
CUST000069,1,2025-11-01
CUST000070,0,
CUST000071,0,
CUST000072,0,
CUST000073,0,
CUST000074,1,2025-11-01
CUST000075,0,
CUST000076,0,
CUST000077,0,
CUST000078,0,
CUST000079,0,
CUST000080,0,
CUST000081,0,
CUST000082,0,
CUST000083,0,
CUST000084,0,
CUST000085,0,
CUST000086,0,
CUST000087,0,
CUST000088,0,
CUST000089,0,
CUST000090,0,
CUST000091,0,
CUST000092,0,
CUST000093,1,2025-10-01
CUST000094,0,
CUST000095,0,
CUST000096,0,
CUST000097,0,
CUST000098,0,
CUST000099,0,
CUST000100,0,
CUST000101,0,
CUST000102,0,
CUST000103,0,
CUST000104,0,
CUST000105,0,
CUST000106,0,
CUST000107,0,
CUST000108,1,2025-10-01
CUST000109,0,
CUST000110,0,
CUST000111,0,
CUST000112,0,
CUST000113,0,
CUST000114,0,
CUST000115,0,
CUST000116,1,2025-10-01
CUST000117,0,
CUST000118,0,
CUST000119,0,
CUST000120,0,
CUST000121,0,
CUST000122,0,
CUST000123,0,
CUST000124,0,
CUST000125,0,
CUST000126,0,
CUST000127,0,
CUST000128,0,
CUST000129,0,
CUST000130,0,
CUST000131,0,
CUST000132,0,
CUST000133,1,2025-08-01
CUST000134,0,
CUST000135,0,
CUST000136,0,
CUST000137,0,
CUST000138,0,
CUST000139,0,
CUST000140,0,
CUST000141,0,
CUST000142,0,
CUST000143,1,2025-09-01
CUST000144,0,
CUST000145,0,
CUST000146,0,
CUST000147,0,
CUST000148,0,
CUST000149,1,2025-04-01
